Split,Strategy,Fold,F2,AvgPrecision,ROC-AUC,P@100,Precision,Recall,AP_shared_comp,AP_unique_comp
grouped,B-SMOTE,8,0.4836193447737909,0.38781149454103037,0.8509947926255161,0.41,0.2339622641509434,0.6595744680851063,0.45465669480409443,0.39125714336408507
grouped,B-SMOTE,9,0.43343653250773995,0.3162314219966837,0.8637658883063468,0.33,0.17391304347826086,0.691358024691358,0.2615588697592243,0.3466718647926996
grouped,B-SMOTE,10,0.4178470254957507,0.3498735525349175,0.7975217569489645,0.37,0.19032258064516128,0.5959595959595959,0.2306174053048031,0.39367102938064547
grouped,B-SMOTE,11,0.47904191616766467,0.4411308082366267,0.8658391729043903,0.43,0.21052631578947367,0.7032967032967034,0.3442206535152888,0.4786741773300862
grouped,B-SMOTE,12,0.5033003300330033,0.3819347399312316,0.8816567462930285,0.39,0.23282442748091603,0.7093023255813954,0.13981066089882782,0.4349943468023091
grouped,B-SMOTE,13,0.42071197411003236,0.33519570069325033,0.8506610425585495,0.35,0.2184873949579832,0.5473684210526316,0.21793675829821277,0.3841032458572919
grouped,B-SMOTE,14,0.4078303425774878,0.30799849982062555,0.8421432758331938,0.32,0.18050541516245489,0.5952380952380952,0.2759893706035321,0.3313320624678096
grouped,B-SMOTE,15,0.43300653594771243,0.4054620471408059,0.8625509524541337,0.37,0.1840277777777778,0.654320987654321,0.33403791648896775,0.4358396879395985
grouped,SMOTE,1,0.44959128065395093,0.36057296009821144,0.8650862532967329,0.37,0.17277486910994763,0.75,0.1274146519993225,0.4347942099578728
grouped,SMOTE,2,0.49222797927461137,0.3830589146989459,0.8708087367178277,0.36,0.22007722007722008,0.7125,0.29362364695147025,0.40194782827481246
grouped,SMOTE,3,0.4120443740095087,0.3383582188290806,0.8613637487898125,0.35,0.16938110749185667,0.6419753086419753,0.18904935993545985,0.3844314621375864
grouped,SMOTE,4,0.46827794561933533,0.3638845366084257,0.8716970148863251,0.32,0.21379310344827587,0.6666666666666666,0.2554511164821044,0.4116196702270317
grouped,SMOTE,5,0.4350736278447122,0.4262522135802913,0.8436845177742957,0.48,0.1771117166212534,0.6842105263157895,0.41644692681379164,0.4473698138155825
grouped,SMOTE,6,0.444947209653092,0.4366656981655964,0.8874142307873597,0.45,0.1873015873015873,0.6781609195402298,0.1330829021297361,0.5229328277724213
grouped,SMOTE,7,0.3937007874015748,0.3475394141527409,0.8712514856916466,0.31,0.1510574018126888,0.6578947368421053,0.15545322685869786,0.4393304529661469
grouped,SMOTE,8,0.5044510385756676,0.41465005504875274,0.8563238040133603,0.44,0.22818791946308725,0.723404255319149,0.41023129624681276,0.428521952860848
grouped,SMOTE,9,0.43410852713178294,0.3107087342000355,0.860898799121274,0.35,0.17445482866043613,0.691358024691358,0.28942910304358416,0.3392532512956369
grouped,SMOTE,10,0.4297407912687585,0.35253327966943016,0.8064143824883683,0.39,0.18694362017804153,0.6363636363636364,0.21842019303869578,0.39075534883854207
grouped,SMOTE,11,0.4792560801144492,0.43506769503831544,0.8646380793119923,0.43,0.2,0.7362637362637363,0.32782884880805363,0.46895473839874974
grouped,SMOTE,12,0.43884892086330934,0.3828042572057576,0.8747234586109722,0.4,0.1737891737891738,0.7093023255813954,0.1536221855316999,0.4478605199634336
grouped,SMOTE,13,0.4474431818181818,0.3461631199144283,0.8516494585746663,0.35,0.19444444444444445,0.6631578947368421,0.21905055717027538,0.3993786932084218
grouped,SMOTE,14,0.4166666666666667,0.28999474177565987,0.8419025288896332,0.3,0.17666666666666667,0.6309523809523809,0.2121765702462146,0.3222635313418467
grouped,SMOTE,15,0.43219076005961254,0.414607106771282,0.8676590045884651,0.37,0.16714697406340057,0.7160493827160493,0.316691821507808,0.4568489645121645
