Fold,Strategy,Calibration,F2,F2_tuned,Threshold,AvgPrecision,ROC-AUC,Brier,ECE,SpearmanVsRaw,nUniqueProb
4,ADASYN,isotonic,0.19851116625310175,,,0.3188193256759557,0.8696040342202339,0.043888471575295136,0.012928639026010217,0.9929059912505409,78
4,RUS,raw,0.453929539295393,0.44954128440366975,0.7,0.36772794003386466,0.8662127514847082,0.14304332946165055,0.26857799905415025,1.0,1445
4,RUS,sigmoid,0.0,,,0.36772794003386466,0.8662127514847082,0.04267682948672398,0.01078039238479193,1.0,1445
4,RUS,isotonic,0.22332506203473945,,,0.3096528628483935,0.8608658399393037,0.04273737381640849,0.012572628509995316,0.9904859577358442,65
5,None,raw,0.31476997578692495,0.47101449275362317,0.07,0.47871017106219566,0.8475804221587242,0.03548833641852253,0.011382657037306152,1.0,1430
5,None,sigmoid,0.34772182254196643,,,0.47871017106219566,0.8475804221587242,0.035375683243472796,0.014161922715329681,1.0,1430
5,None,isotonic,0.3588516746411483,,,0.476445847457524,0.8420806833195071,0.03584500219374208,0.014780125822315597,0.9944388305977445,77
5,ClassWeight,raw,0.47583081570996977,0.47583081570996977,0.49999999999999994,0.4646043330978194,0.8570375149783389,0.09126847117836052,0.15181955747075576,1.0,1472
5,ClassWeight,sigmoid,0.30413625304136255,,,0.4646043330978194,0.8570375149783389,0.03752413809687614,0.02098294494373603,0.9999999999999998,1472
5,ClassWeight,isotonic,0.2696078431372549,,,0.44916984655763287,0.8562909023873168,0.03789594101921681,0.016099625981420035,0.9913944509008308,48
5,B-SMOTE,raw,0.49206349206349204,0.46476761619190404,0.4499999999999999,0.42573382101245544,0.8494054751590008,0.0870769181860554,0.13588028527029783,1.0,1458
5,B-SMOTE,sigmoid,0.013089005235602094,,,0.42573382101245544,0.8494054751590008,0.039027336286694844,0.015413513262168492,1.0,1458
5,B-SMOTE,isotonic,0.23573200992555832,,,0.4139754667598276,0.8499738839217131,0.03788845567063517,0.014213952051982512,0.9730373552879005,69
5,SMOTE,raw,0.4552129221732746,0.4177545691906005,0.4099999999999999,0.44735034474425145,0.8424125111377392,0.09959811754565119,0.17521109135277502,1.0,1442
5,SMOTE,sigmoid,0.08951406649616368,,,0.44735034474425145,0.8424125111377392,0.03765948239532027,0.015968282254829883,1.0,1442
5,SMOTE,isotonic,0.21144278606965175,,,0.44146308641870485,0.8426245122438321,0.037214871332423675,0.021927502268741926,0.9927083149965281,65
5,ADASYN,raw,0.4601226993865031,0.456656346749226,0.5099999999999999,0.4207761667185004,0.8527667680585,0.09445154749967025,0.15918033048345717,1.0,1461
5,ADASYN,sigmoid,0.0,,,0.4207761667185004,0.8527667680585,0.03904820035627247,0.021576208260218107,1.0,1461
5,ADASYN,isotonic,0.35629453681710216,,,0.4030246038152886,0.8557562909023873,0.03800232302541851,0.01210797896023543,0.9859091847744432,61
5,RUS,raw,0.41044776119402987,0.46255506607929514,0.59,0.3777126500273014,0.8409592281930744,0.14329407063298077,0.2534458947458626,1.0,1473
5,RUS,sigmoid,0.0,,,0.3777126500273014,0.8409592281930744,0.040757474922545944,0.015083727685715429,1.0,1473
5,RUS,isotonic,0.19607843137254902,,,0.34577726277920884,0.8389375364856976,0.04246921892630028,0.009006917729316513,0.9937545963151275,77
6,None,raw,0.28,0.49382716049382713,0.10999999999999999,0.47681646467702105,0.887518601566235,0.0335423580418184,0.005316224175535452,1.0,1470
6,None,sigmoid,0.31496062992125984,,,0.47681646467702105,0.887518601566235,0.03424588105791733,0.00871978303738919,0.9999999999999998,1470
6,None,isotonic,0.2680965147453083,,,0.45268974634032005,0.888215529025177,0.033911310214478706,0.00639126153360147,0.9907231442650436,68
6,ClassWeight,raw,0.5032119914346895,0.5008944543828264,0.30999999999999994,0.46780662522512717,0.8830710596664175,0.04930169330964833,0.05596470616865849,1.0,1474
6,ClassWeight,sigmoid,0.33078880407124683,,,0.46780662522512717,0.8830710596664175,0.03437181473883986,0.009208895504279413,0.9999999999999998,1474
6,ClassWeight,isotonic,0.23097826086956522,,,0.439480938501577,0.8808119373236639,0.03367900470610542,0.009710281091111994,0.9881410737852067,55
6,B-SMOTE,raw,0.4672897196261682,0.47186932849364793,0.4799999999999999,0.44877627345239895,0.8653347608562444,0.07766130964843589,0.1404745188087989,1.0,1428
6,B-SMOTE,sigmoid,0.1780821917808219,,,0.44877627345239895,0.8653347608562444,0.0350944432950244,0.011481382418546763,1.0,1428
6,B-SMOTE,isotonic,0.24128686327077747,,,0.41760261014222916,0.8655435024139951,0.03467618976152205,0.008404067868819521,0.9880544985666572,68
6,SMOTE,raw,0.4965753424657534,0.4865424430641822,0.62,0.4510308905078413,0.8896497855348834,0.08870474448330241,0.1735777021069059,1.0,1427
6,SMOTE,sigmoid,0.09803921568627451,,,0.4510308905078413,0.8896497855348834,0.03535803826891216,0.010862234290619678,1.0,1427
6,SMOTE,isotonic,0.3116883116883117,,,0.411081260772808,0.8854311859887279,0.03492469369206666,0.009724354913402159,0.9835914020039784,58
6,ADASYN,raw,0.42045454545454547,0.466786355475763,0.18,0.41780589566974136,0.8574631840494515,0.04698257106103403,0.04017360556825015,1.0,1471
6,ADASYN,sigmoid,0.24064171122994651,,,0.41780589566974136,0.8574631840494515,0.03688803211691217,0.008948301099997396,0.9999999999999998,1471
6,ADASYN,isotonic,0.11204481792717087,,,0.39621116553914437,0.8526452942245923,0.03656752380688725,0.008670498374558843,0.993382585950844,80
6,RUS,raw,0.40829986613119146,0.47957371225577267,0.6599999999999999,0.4404714506800459,0.8704758634156853,0.13398446201640635,0.24935822864556262,1.0,1471
6,RUS,sigmoid,0.0,,,0.4404714506800459,0.8704758634156853,0.03726936137273245,0.014913182403380798,0.9999999999999998,1471
6,RUS,isotonic,0.09776536312849161,,,0.4086338644672377,0.8681359378892861,0.036017724831031175,0.010434187116275811,0.9918339472975818,57
7,None,raw,0.24539877300613497,0.4822834645669291,0.09999999999999999,0.3848980118835366,0.9012662664187975,0.03215668142611184,0.00924163902538952,1.0,1476
7,None,sigmoid,0.24539877300613497,,,0.3848980118835366,0.9012662664187975,0.03344296537165233,0.007108347338550559,1.0,1476
7,None,isotonic,0.24316109422492402,,,0.37066162939106645,0.9021424435437175,0.032638344514324125,0.014534619818074829,0.9729609652922458,54
7,ClassWeight,raw,0.44759825327510916,0.46568627450980393,0.24,0.3978078478502892,0.8930911528967178,0.05477613747856054,0.07400864532348585,1.0,1478
7,ClassWeight,sigmoid,0.2537313432835821,,,0.3978078478502892,0.8930911528967178,0.03264153232688263,0.015010188255815305,0.9999999999999998,1478
7,ClassWeight,isotonic,0.2153846153846154,,,0.3656177137014697,0.8876436168591718,0.03228641673221336,0.013617956008260042,0.9923451537955142,59
7,B-SMOTE,raw,0.45454545454545453,0.4665629860031104,0.29,0.3569036610610791,0.8901350074665528,0.07152949753241102,0.11646108055736247,1.0,1477
7,B-SMOTE,sigmoid,0.22388059701492538,,,0.3569036610610791,0.8901350074665528,0.03520384193965577,0.015482742615312609,1.0,1477
7,B-SMOTE,isotonic,0.23255813953488372,,,0.3378539143292009,0.8825998841922409,0.03460660925228629,0.018340154168083933,0.9888370543507791,68
7,SMOTE,raw,0.4268292682926829,0.43151969981238275,0.5599999999999999,0.35203513585012564,0.8823560783835676,0.09528006689134054,0.1813026159543067,1.0,1467
7,SMOTE,sigmoid,0.18633540372670807,,,0.35203513585012564,0.8823560783835676,0.03432977629609302,0.015538726014345377,1.0,1467
7,SMOTE,isotonic,0.23952095808383234,,,0.33568393110640127,0.8783066162801328,0.03376741515157926,0.013700444493943819,0.9939304049850403,58
