composition,n_entries
HfZrO4,2
SnS,2
Na2NiO3,2
BaO,2
AlHg2SbCl4,2
Rb2Te,2
Ba2YTaO6,2
LiMn2OF3,2
NbAg7S6,2
B9H11,2
ZnSiO3,2
Zr3N2O3,2
Ta2H4O7,2
Ca3Si2O7,2
Dy2Ge2O7,2
Ga2S3,2
NaCuP2O7,2
Na2SiF6,2
Ba(H2O3)2,2
Sm2Ge2O7,2
La(HO)3,2
FeP4,2
La2Nb2N2O5,2
SnP2O7,2
ScHO2,2
SiC,2
SrBr2,2
Mg(GaO2)2,2
Dy(IO3)3,2
K2O,2
TeHO3,2
GaHO2,2
LiYF4,2
LaTa2NO5,2
Ca5P3ClO12,2
H2W2O7,2
BaF2,2
Mn(HO)2,2
Bi3(TeCl5)2,2
SrCO3,2
ZnSe,2
Sm2S3,2
AlN,2
Tb2TiO5,2
Na6Ti2O7,2
Y2Ge2O7,2
Hg3(SeI)2,2
YAlO3,2
SrAl4O7,2
KHgC3(SN)3,2
Tm2TiO5,2
Ca2Ta2O7,2
SrSO4,2
TiAs2O7,2
SmIO,2
NaGaO2,2
K2S5,2
KCaF3,2
Y2Si2O7,2
ScGaO3,2
LiGdO2,2
Li3Mn2(PO4)3,2
YbSe,2
SrTe,2
ScF3,2
Li2Mn3(P2O7)2,2
LaNbO4,2
K4TiO4,2
NaClO4,2
TlS,2
TlBi(PSe3)2,2
NiH12SO10,2
KPO3,2
Li2Ti(BO3)2,2
LaTiNO2,2
CdSO4,2
NdTaO4,2
RbGeI3,2
AsHPb4(ClO)4,1
Ba2La3Si3O12F,1
LiBH2C4O9,1
Ca16MgAl14Si9O56,1
Na3H(SO4)2,1
KAuS,1
H9C2N11O8,1
Li5SiP3,1
PrH20S4N5O16,1
Pr16Si16N27Cl3O14,1
KMg3AlSi3(O5F)2,1
K2NaNb(OF2)2,1
Na4ZnP6(HO2)12,1
SrZnH6O5,1
MgH18C4SN8O9,1
Li4Ti5O12,1
Zn4B2O7,1
ZrH6NOF5,1
KLi3Si12(SnO15)2,1
NaB(HO)4,1
KB3(H3O4)2,1
Li2Sb(PO3)5,1
ZnH12C2(N3Cl2)2,1
Ga6Te10Pb,1
HC2S2N(O2F3)2,1
Rb5Tc3S7,1
Er18Ti14O55,1
PH9C2N4O5,1
K2TeH10(NO7)2,1
Na6Ga5Si7H15O32,1
P5H5N6(Cl4O)2,1
BBr,1
Y2Ti2O7,1
LiSb2(PO4)3,1
Li3Sb2(PO4)3,1
Sm2Te3,1
NaPr9Si6(SO12)2,1
IF7,1
TeP2H16N2O13,1
KHSeO4,1
Er2S3,1
CsH24Ru(SO10)2,1
Na2Pr4Br9NO,1
RbNa10Al11Si13O48,1
NaSm9Si6(SO12)2,1
K6Al11Si13Ag5O48,1
H2Ru3C8SO8,1
Ti4P8S29,1
Gd2S3,1
H6C(N3O2)2,1
Na5Zr4Si3(PO8)3,1
Ca2NF,1
Na3SiH11O9,1
PH6NO3,1
BaH6C2S2N2O3,1
Bi15AsO25,1
TiNb2Zn(PbO3)4,1
TiH12N3F7,1
Bi15PO25,1
SiH14(O2F3)2,1
Na2Si(H5O4)2,1
H6Os5Pt(CO)16,1
Ca10P6ClO24F,1
TiP2H4O9,1
MgC2S2(OF3)2,1
DyZr9Si9PO40,1
Bi4O5,1
Na2Sn2H4O5,1
Re6H12Pb3C2S2(N2O13)2,1
Nd10Si10N17ClO9,1
NaH8SeNO6,1
In2(PSe3)3,1
SrMgUH24C3O23,1
TaTi9Al3Zn23O48,1
CaLaMgTaO6,1
HCl,1
Sb6O13,1
Yb2Se3,1
NaCaAlSi2O7,1
Rb3Ta5O14,1
H13ClO6,1
H12C4N2O9,1
PH5NO4,1
Os5(CO)19,1
Ca12Al11Si3Cl5O32,1
Pr20AlSi19N33Cl2O19,1
Os5(CO)16,1
Na3Sr4Nd3Ti10O30,1
Na2Te(H5O4)2,1
LiCaP3H8O13,1
KUP(H2O3)3,1
K10Th3(P5S18)2,1
H7IN2,1
Ba(GaO2)2,1
Ca3SiH30CSO25,1
UPb(SeO4)2,1
K3P6S6N7,1
H6Os5Pt2(CO)17,1
Sr10Ga6O19,1
K4TeP4(HO2)10,1
Rb12Sn8GeO4,1
LiInSiO4,1
CaH4NClO5,1
NaB3H4O7,1
Cs3Mg3In(PO3)12,1
Ge4Se9,1
NaCa9ScZn9(SiO3)20,1
ZnP2H6O5,1
LaSb(SBr)2,1
TiH14(OF)6,1
H3SNO4,1
H2Ru6(CO)17,1
BaH8PtC4(NO)4,1
Na2H6PtC4N4O3,1
ZrN6O17,1
KMgP(H6O5)2,1
SrB6(H4O7)2,1
Re3(SCl)7,1
Ca5P3HO13,1
InTeI7,1
CsAg2(B5O8)3,1
Bi(Mo2Cl5)3,1
FeH20S2(NO7)2,1
MgPH16NO10,1
TiSi4(NCl7)2,1
H6C3N4O3,1
PCN2Cl3,1
Nb3Se10Br3,1
NaH4CSNO2,1
AlP2H5O9,1
Li4Re6S11,1
H8PtN2(ClO)2,1
CaH14I10O7,1
Cs4Th2P5Se17,1
CsMgH12(ClO2)3,1
UH14(NO2)4,1
PH11(NO2)2,1
Ca4Al6O13,1
CsRe6Se8I3,1
K2Re3C2Se5N2,1
LiMo6Cl13,1
BaSi2(H3O4)2,1
Na3AsH14SO10,1
K2Ti(GeO3)3,1
Na4GeH28(Se2O7)2,1
TlB5O8,1
H4CS(NO)3,1
Sr3CrN4,1
Rb2Sn(GeO3)3,1
CuPH4O5F,1
H3SNO3,1
Cr(CO)6,1
Cs5Te3H4NCl18,1
Sb6H3CCl13O10,1
Ho2Si4CN6,1
Zn3In2O6,1
BeH8SeO8,1
NaGa(SiO3)2,1
NaF,1
H4Ru3C9N2O9,1
SbH32C8N4Cl7,1
KSn2H36C12(Se2N)3,1
Sb2H30C9(NCl3)3,1
ZnH2(CO2)2,1
Sm4AlSi5(NO)7,1
AgCNO,1
KBaPO4,1
Rb4LiH3(SO4)4,1
P2H24PdC12(BrN3)2,1
LiTi(PO3)5,1
KH2SeNO3,1
Ba21(Cd2Sb9)2,1
CuH8(ClO5)2,1
SrB8O13,1
Y2Te4O11,1
Ag3TeIO4,1
Rb8U9O31,1
Na2CuH20C12(N2O3)6,1
KTaPS6,1
CsSb3F16,1
Ag7P3S11,1
Tb(BO2)3,1
Mn2InC10ClO10,1
Mn2InC10BrO10,1
Mn2InC10IO10,1
Li5Ti7In(PO4)12,1
Cd7Te7Cl8O17,1
K2LiSn4,1
Sr3Tm3Al4Si8N17O4,1
Rb2LiSn4,1
Na3CaAl3Si3SO16,1
K3Ta2S11,1
NaCaMgAl(SiO3)4,1
CsKNaLi13(SiO4)4,1
K2H6PtC4N4O3,1
Ti2P4H9C2NO16,1
AsH18N3O7,1
Na3B5H4O11,1
Na2P2H14O13,1
H4SeO5,1
Li3As7,1
BH4NF4,1
H18RuN5(ClO)2,1
CaB3H7O9,1
Na3AsH22S2O13,1
Cd3(PO4)2,1
H2CS3,1
As2Pb14Cl4O17,1
Sr5As5HO18,1
SrTi2O5,1
CsCaF3,1
CrAuS2,1
Rb4SnO4,1
AgMo6Br13,1
K2Ho4Cu4S9,1
K2Dy4Cu4S9,1
KGa2Cl7,1
Tc(CO)5,1
RbLaSe2,1
Al2Os,1
Sr5Al10(Si7O24)2,1
K4GeH4N2O3,1
W6CCl16,1
CsB9O14,1
NaSi2(HO2)3,1
Hg2Mo2O7,1
AgP2H8SN7O2,1
Li3TeHO4,1
Li2Mn3ZnO8,1
BaSn2(HO2)2,1
LaHBr2,1
Cs4U3Mo3O20,1
Be(B3H8)2,1
UAg2(WO5)2,1
Rb3CoNCl4O3,1
TiH12C2(NF)6,1
K3CaP2HO8,1
CaZnSiH2O5,1
AlH4NF4,1
BaH4(BrO)2,1
RbHS,1
RbHSeO4,1
Cs7U8V2ClO32,1
K2U2MoO10,1
K3GeH2NO3,1
Ho2H4CO7,1
Rb2YTi(PO4)3,1
K8V2(S2O9)3,1
RbGdS2,1
AgH2SNO3,1
GeW2C10(BrO5)2,1
RbNaCr2O7,1
Mg2H6Ru,1
SiH12C2(NF)6,1
RbDyS2,1
MgH6(BrN)2,1
RbH2N,1
H2S,1
MgZn2H12(BrO)6,1
HPbIO,1
Na6U2Mo4O21,1
CdH4CN2Cl2O,1
CdH2SeO4,1
BH3OF4,1
NaH3SO5,1
NaCaB5H8O13,1
P3H4N5Cl4,1
NaHNO2,1
NiB18(H11C2)2,1
Cr2P2O7,1
ZnH4(NO4)2,1
RbBe2F5,1
CaP3H10NO12,1
Hf3Tl10Mo12PbO48,1
NaCa2V3Zn2O12,1
HgHNO4,1
Al2Si3H8(NO5)2,1
TlH6(NO4)3,1
UH12(NO4)2,1
NaAsH4O5,1
NaH3C2O5,1
H4S4N6O,1
In2(MoO4)3,1
Ba2VI5O17,1
HPbClO,1
K3SnHF8,1
Cs2TiV3(PO6)3,1
Li2Fe(PO3)5,1
K3NbHOF7,1
CsTaCo(OF2)2,1
KH2I3O,1
NaHCO3,1
SrLaTaMnO6,1
B5H9,1
BaSO2,1
Ca2H2S2O7,1
H2SeNO4,1
SnH6Cl4O3,1
U3Cu2H10(CO10)2,1
BHO2,1
Ga2P2H9NO11,1
MnH8(N2Cl)2,1
LiAlH16(CN)4,1
NaLiH4C2O5,1
DyH9C5(NO4)2,1
H24PtC8(NF3)2,1
MnGe4H24C8(S5N)2,1
K2SiAs2,1
Mn2PC11SO8F9,1
CuH4C2NCl3O,1
Ca4MgB4H6(CO9)2,1
ZnH10C4(N2O3)2,1
NiH10C4(SN4)2,1
AgH6C4(NO)2,1
GeSe,1
ZnH16C6(N3O5)2,1
Rb2CuH4(C2O5)2,1
BH11AuC4IN2,1
RbCoH24(C7N4)2,1
Ba5Re3O16,1
CuH12C5S4N,1
RbLiH4S2(NO3)2,1
Li2B12H26O7,1
Li2HN,1
K2MgH8(SO6)2,1
U2CuP2(HO)24,1
MoSCl7O,1
HPb3ClO3,1
CsZn2P2HO8,1
K10Zr3Cd(MoO4)12,1
K4ErP6H6ClO21,1
Ta2W2O11,1
NaCaGaSi2O7,1
Tm2PbS4,1
HgTe3H12C4N,1
Sb3WC6O6F17,1
K2BiH5(CO2)5,1
ScPS4,1
NaCa2Al4H8C4ClO20,1
U2CuAs2(HO)24,1
Sr(GaTe2)2,1
K2TiH2O3F4,1
Na5P3(H3O4)4,1
CsUCrO6,1
RbHoO2,1
H2CN2,1
CdH8(NO5)2,1
LiZnPH2O5,1
MoP4O13,1
GaAg(PSe3)2,1
Ba6Mg7H26,1
Cu2H6C3N4O,1
KSrAs(H4O3)4,1
CaP4(HO6)2,1
MgH8(NF2)2,1
BaH2(SO4)2,1
HfP2H4O9,1
H13Se2N3O8,1
Nd2Zr3(MoO4)9,1
H12AuC4N,1
NaNbN2,1
LaGaS2O,1
LiYO2,1
P5HC(NCl6)3,1
Al2Si2H4O9,1
Na2P2H2O7,1
SrH2I2O,1
LaMg2H7,1
Li2Sn(H5O4)2,1
Mg5H8O9,1
Na2Si3(HO4)2,1
Cd3H2CSeO8,1
UP3HO11,1
UP3H7O8,1
Sr2AlH7,1
H6CSBrN3,1
Ba2Na2B10H2O19,1
PH8SN3O,1
Cs2Zr2ZnH12(OF2)6,1
Na3H7Ru,1
Ca2As2O7,1
Bi6W4O21,1
Bi14MoO24,1
NaGdRe4(H2O5)4,1
K6Ba2CaU6O24,1
Li3B5(HO5)2,1
NaP3(PbO3)4,1
AsH2C2NCl2O,1
Ca3Si2(H3O5)2,1
Al2Si4O11,1
Sr2HN,1
MgH2(SO4)2,1
KLiPH2O4F,1
HNF2,1
BaH4(ClO)2,1
NaCa2Al2P2H5O11F4,1
AgSbH2C2(NF3)2,1
Na2BH4ClO4,1
SrH6C4O7,1
H8S2N2O5,1
Na2B4H8O11,1
InF3,1
B10H13,1
K2HS2NO6,1
BeH8(NO5)2,1
KRb2Mo(OF)3,1
KFeH5(SO5)2,1
H4CS(NO)2,1
Ca3P4H20(NO10)2,1
Ca3YAl3B4O15,1
ScH16C3S3O17F9,1
Al8P8H34N7O36F5,1
BaNa5Ca7P6(O8F)3,1
H6CN3Cl,1
ZnH10C4N6(ClO2)2,1
KCa2Be2Al(Si2O5)6,1
NaCa3ScZn3(SiO3)8,1
Al4Zn4P8H13N3O32,1
PH6N3O,1
PH6SN3,1
Na3SiH3O5,1
ThCd(MoO4)3,1
Rb2U2Mo3O16,1
K3H3Pd,1
DyMoO4F,1
TmMoO4F,1
MgTiNb2(PbO3)4,1
ZnH4(ClO3)2,1
AsH6NO4,1
KP2H8SN7O2,1
Ca2Al2Si(HO4)2,1
Na3AsH24SeO15,1
K2Nb6Ag(PO8)3,1
Mg3B2P2(H9O10)2,1
NaSc(SiO3)2,1
Sr5Al11TlSi13O48,1
